Date,Location,AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
2021-06-28,Nizamabad,35,321.6875,0.1070833333333333,4.4279166666666665,34.98791666666667,1.6875,9.690416666666666,12.07,3.2062500000000003
2021-06-28,Warangal,38,360.0725,0.1949999999999999,5.797499999999999,38.29625,1.2879166666666666,13.67625,15.95,2.5191666666666666
2021-06-29,Adilabad,44,337.4025,0.1620833333333333,6.138333333333333,44.4875,2.8395833333333336,11.3825,13.201666666666668,2.35875
2021-06-29,Karimnagar,43,495.9508333333333,0.705,10.0975,43.20041666666666,3.9620833333333336,19.89375,25.00208333333333,5.2625
2021-06-29,Khammam,81,355.2054166666667,0.1016666666666666,6.461666666666667,81.36125,10.943333333333332,33.61875,37.494166666666665,2.1225
2021-06-29,Nizamabad,41,338.2370833333334,0.085,5.195833333333334,40.51625,2.411666666666666,11.854583333333332,14.1625,3.47875
2021-06-29,Warangal,53,510.275,0.1949999999999999,10.684166666666668,53.06333333333333,4.0495833333333335,33.350833333333334,39.529583333333335,7.410833333333333
2021-07-01,Adilabad,44,512.9183333333334,2.4120833333333334,16.835,33.80916666666666,4.281666666666667,35.07125,38.431666666666665,11.0125
2021-07-01,Karimnagar,87,527.9391666666667,0.4458333333333333,13.7375,56.49666666666667,6.12375,69.47708333333334,75.59541666666667,4.437083333333334
2021-07-01,Khammam,83,468.4141666666667,0.0370833333333333,5.0575,41.61958333333333,0.94,66.31916666666667,72.25708333333334,2.411666666666666
2021-07-01,Nizamabad,46,426.135,0.06,5.07,45.95916666666667,1.4495833333333332,35.63708333333333,39.86541666666667,4.6258333333333335
2021-07-01,Warangal,88,525.4358333333333,0.3058333333333333,9.1925,44.39083333333334,2.1804166666666664,70.12458333333333,75.41708333333334,3.6520833333333336
2021-07-02,Adilabad,97,367.02625,0.2995833333333333,5.2195833333333335,97.0075,9.14,38.565000000000005,44.03666666666667,7.021249999999999
2021-07-02,Karimnagar,100,530.1641666666667,0.4045833333333333,11.438333333333333,96.54666666666668,22.59083333333333,79.84916666666668,88.39541666666666,8.552083333333334
2021-07-02,Khammam,122,492.3354166666666,0.0808333333333333,5.057083333333334,64.94,5.59625,97.78083333333332,107.98125,4.779166666666667
2021-07-02,Nizamabad,97,402.4916666666666,0.1679166666666667,4.620833333333334,96.5,8.9975,51.06708333333333,57.17416666666667,8.327083333333333
2021-07-02,Warangal,105,508.19,0.3216666666666666,6.119166666666668,72.91041666666666,8.707083333333333,83.68333333333332,92.10958333333332,9.885833333333332
2021-07-03,Adilabad,85,469.52625000000006,0.3504166666666666,12.270416666666668,85.23458333333333,9.505,42.045,61.928333333333335,13.324166666666663
2021-07-03,Karimnagar,70,598.8683333333333,0.26125,12.447916666666666,61.0125,5.352083333333333,55.03,70.30166666666666,13.912916666666668
2021-07-03,Khammam,57,470.36125,0.1841666666666666,7.02,55.70125,4.620833333333334,45.897083333333335,54.90083333333333,7.109166666666667
2021-07-03,Nizamabad,78,533.0841666666666,0.0908333333333333,6.94875,74.71458333333332,6.7195833333333335,55.04375,77.83708333333333,16.424583333333334
2021-07-03,Warangal,61,526.1308333333333,0.1729166666666667,9.339583333333334,57.03875,5.426666666666667,48.525,60.72625,9.335
2021-07-04,Adilabad,106,449.7766666666666,0.085,3.3979166666666667,107.64625,8.1075,50.865833333333335,66.32583333333334,6.004583333333333
2021-07-04,Karimnagar,95,453.1154166666667,0.1433333333333333,6.054166666666667,94.7575,7.270416666666667,39.10333333333333,53.76333333333333,7.2175
2021-07-04,Khammam,86,378.7079166666667,0.12125,3.9345833333333338,86.21875,4.142916666666667,28.52416666666667,42.1325,2.62625
2021-07-04,Nizamabad,94,470.36125,0.065,3.455833333333333,94.31,5.630416666666666,44.85541666666666,60.06041666666667,7.637499999999999
2021-07-04,Warangal,81,412.5058333333333,0.1145833333333333,4.5825000000000005,81.04791666666667,5.569583333333333,33.53208333333333,47.12583333333333,4.92125
2021-07-05,Adilabad,59,363.8275,0.1245833333333333,7.93625,59.321666666666665,3.734583333333333,21.434166666666663,27.11583333333333,7.019166666666667
2021-07-05,Karimnagar,45,336.98583333333335,0.1125,6.80375,45.00958333333333,3.721666666666666,12.131666666666666,18.49,6.640000000000001
2021-07-05,Khammam,51,274.6779166666667,0.4170833333333333,5.6275,50.58125,9.035416666666666,13.294583333333334,16.653333333333332,1.295
2021-07-05,Nizamabad,51,414.3133333333333,0.10125,6.677916666666667,50.57833333333334,2.985416666666667,23.297916666666666,31.475833333333338,9.910416666666666
2021-07-05,Warangal,49,291.09125,0.1495833333333333,4.221666666666667,48.943333333333335,4.91375,8.88,11.988333333333337,3.2412500000000004
2021-07-06,Adilabad,74,375.51,0.1379166666666666,4.317916666666666,73.59833333333333,2.5429166666666667,17.686666666666667,19.10375,3.845416666666667
2021-07-06,Karimnagar,87,362.8545833333333,0.1704166666666666,3.7266666666666666,87.17291666666667,4.504583333333334,21.38583333333333,23.522916666666664,4.1433333333333335
2021-07-06,Khammam,76,390.8091666666666,0.1025,4.754583333333334,75.93625,5.137083333333334,25.137083333333333,27.76875,3.189583333333333
2021-07-06,Nizamabad,66,409.0266666666666,0.0870833333333333,5.265833333333333,66.25083333333333,2.982083333333333,27.388333333333332,31.27083333333333,5.998333333333334
2021-07-06,Warangal,66,392.47625,0.2116666666666666,4.6425,66.38375,1.9491666666666667,20.265,23.19375,5.127083333333333
2021-07-07,Adilabad,56,296.3754166666667,0.1191666666666666,6.03875,55.82083333333333,4.28375,14.0675,17.08125,3.693333333333333
2021-07-07,Karimnagar,28,409.0275,0.2283333333333333,9.865833333333333,28.27875,4.6625,14.0825,19.215416666666663,4.845833333333333
2021-07-07,Khammam,36,466.74500000000006,0.3170833333333333,10.8425,23.02583333333333,7.622083333333333,28.946250000000003,33.287083333333335,2.70125
2021-07-07,Nizamabad,42,342.27,0.1008333333333333,5.510833333333333,41.5,2.8666666666666667,13.71,17.1125,3.8791666666666655
2021-07-07,Warangal,31,376.6229166666667,0.1329166666666666,6.105,31.02375,1.325416666666667,10.377083333333331,13.677916666666668,3.1945833333333336
2021-07-08,Adilabad,43,322.52208333333334,0.2208333333333333,6.076250000000001,42.65166666666666,2.30125,17.880416666666665,22.304166666666664,3.85625
2021-07-08,Karimnagar,36,391.6425,0.34375,8.427083333333334,36.240833333333335,3.10375,13.78125,19.04458333333333,6.184166666666666
2021-07-08,Khammam,40,366.6095833333333,0.5133333333333333,4.305,40.46041666666667,1.35375,17.529166666666665,22.116666666666664,4.32875
2021-07-08,Nizamabad,43,295.9583333333333,0.2029166666666666,4.705,42.52791666666666,3.4579166666666663,11.2875,15.919583333333334,5.823333333333333
2021-07-08,Warangal,33,412.3641666666667,1.43625,6.237916666666667,33.27333333333333,1.31625,15.316666666666668,21.076666666666664,4.334583333333334
2021-07-09,Adilabad,26,452.6979166666667,0.1766666666666666,9.26875,23.52208333333333,6.889166666666667,20.43166666666667,21.21375,0.8649999999999999
2021-07-09,Karimnagar,22,343.66125000000005,0.12875,6.771249999999999,21.939166666666665,3.390416666666667,9.916666666666666,10.95625,1.1920833333333334
2021-07-09,Khammam,32,333.50875,0.1170833333333333,7.802916666666667,31.66958333333333,5.708333333333333,11.62625,12.552916666666668,0.9554166666666668
2021-07-09,Nizamabad,20,328.2233333333333,0.14375,5.84625,19.871666666666663,1.8545833333333333,8.620833333333334,9.385,1.3866666666666667
2021-07-09,Warangal,22,344.0779166666667,0.1091666666666666,6.666666666666667,21.5475,1.6733333333333331,8.649583333333334,9.54875,1.106666666666667
2021-07-10,Adilabad,142,636.6966666666666,0.29875,11.123333333333331,82.02041666666666,10.502083333333331,113.98458333333332,119.26958333333332,2.134583333333333
2021-07-10,Karimnagar,42,483.15625,1.27,10.78375,29.30333333333333,3.4829166666666667,33.81,41.020833333333336,4.600833333333333
2021-07-10,Khammam,36,318.6275,0.1545833333333333,3.71125,36.15416666666667,1.6508333333333332,16.442083333333333,18.942083333333333,1.3429166666666663
2021-07-10,Nizamabad,71,576.7558333333333,0.2404166666666666,7.117916666666667,34.27291666666667,2.481666666666667,56.99,67.11791666666666,11.022916666666667
2021-07-10,Warangal,35,409.72375000000005,0.2341666666666666,7.835,34.84791666666667,2.709583333333333,26.80375,30.832083333333333,2.7416666666666667
2021-07-11,Adilabad,157,553.8066666666667,0.2391666666666666,8.850416666666666,97.52791666666668,16.743750000000002,138.66875000000002,146.52166666666668,3.282083333333333
2021-07-11,Karimnagar,152,828.6241666666666,0.8595833333333333,19.822916666666668,57.87625,10.25125,125.19791666666669,136.49041666666668,12.522083333333336
2021-07-11,Khammam,151,546.57375,0.0583333333333333,3.5387500000000003,60.78208333333333,1.944583333333333,123.57125,129.52666666666667,1.4733333333333334
2021-07-11,Nizamabad,144,620.2845833333333,0.2620833333333333,6.927499999999999,58.62041666666667,4.050833333333333,115.50916666666666,126.60375,8.770416666666668
2021-07-11,Warangal,123,602.4833333333333,0.1495833333333333,6.738333333333333,59.69375,2.8725,98.45291666666668,105.34,2.6558333333333333
2021-07-12,Adilabad,158,600.5354166666667,0.3575,10.935,78.23208333333334,16.517500000000002,141.0425,149.66625,5.192083333333334
2021-07-12,Karimnagar,150,718.3345833333333,0.5120833333333333,20.09375,52.4675,16.255,119.89833333333333,131.4125,10.890833333333331
2021-07-12,Khammam,72,522.9316666666667,0.0929166666666666,5.951666666666667,44.75208333333333,2.6491666666666664,57.93416666666667,62.21375,2.90875
2021-07-12,Nizamabad,156,642.9541666666667,0.1495833333333333,8.05125,52.51083333333333,7.68625,134.76375,146.53666666666666,9.861666666666666
2021-07-12,Warangal,98,490.66541666666666,0.1604166666666666,6.59,49.3975,4.0525,78.20583333333333,83.87291666666667,5.59
2021-07-13,Adilabad,33,404.5779166666667,0.44875,9.86625,33.13291666666667,5.3220833333333335,18.271666666666665,19.8725,4.470833333333333
2021-07-13,Karimnagar,28,313.2025,0.1933333333333333,5.834583333333334,28.19333333333333,3.105833333333333,5.521249999999999,7.0129166666666665,2.025416666666666
2021-07-13,Khammam,21,321.13,0.1329166666666666,7.3,21.33083333333333,4.659583333333333,9.2425,10.27125,0.895
2021-07-13,Nizamabad,29,296.09583333333336,0.1591666666666666,3.8975,28.80458333333333,1.7879166666666666,6.076249999999999,7.757083333333333,2.255
2021-07-13,Warangal,23,335.5941666666667,0.1083333333333333,5.7825,22.71708333333333,1.3183333333333334,7.037083333333334,8.427083333333334,1.825416666666667
2021-07-14,Adilabad,43,445.3279166666667,0.1545833333333333,6.331666666666667,42.81125,5.652083333333334,31.07958333333333,32.05958333333333,1.387916666666667
2021-07-14,Karimnagar,17,308.6141666666667,0.2220833333333333,7.03625,16.838333333333335,3.4691666666666667,5.767083333333333,6.488333333333333,1.2308333333333332
2021-07-14,Khammam,18,320.43625000000003,0.17625,7.751666666666666,17.74083333333333,4.7675,6.944583333333334,7.735833333333333,0.7795833333333334
2021-07-14,Nizamabad,16,334.9,0.18625,6.43125,15.72875,2.5733333333333333,8.373333333333333,9.424166666666666,1.4904166666666667
2021-07-14,Warangal,18,303.4683333333333,0.1591666666666666,5.739583333333333,18.38833333333333,1.1254166666666665,4.769166666666666,5.8133333333333335,1.559583333333333
2021-07-15,Adilabad,48,361.46333333333337,0.2683333333333333,4.297083333333333,48.18333333333334,2.209166666666667,24.32625,25.55375,3.2570833333333336
2021-07-15,Karimnagar,38,291.2283333333333,0.2333333333333333,4.557916666666666,37.7975,2.392916666666667,7.094166666666666,8.278333333333334,1.97
2021-07-15,Khammam,40,293.1770833333333,0.5379166666666667,7.91875,39.76083333333333,10.37625,13.239583333333334,14.761666666666668,0.7912500000000001
2021-07-15,Nizamabad,35,319.0445833333333,0.4283333333333333,4.79125,34.70291666666667,2.492083333333333,11.752916666666666,13.161666666666669,2.137083333333333
2021-07-15,Warangal,40,304.8583333333333,0.2733333333333333,5.104583333333333,40.25208333333333,2.317916666666666,11.565416666666666,13.014583333333334,1.9225
