,Region,Month,Year,Start_Date,End_Date,Start_Date_Unix,End_Date_Unix,Full Location,LatLong
521,Adilabad,APR,2016,01-04-16,30-04-16,1459449000,1461954600,"Adilabad, Telangana, India",lat=19.5&lon=78.5
522,Adilabad,MAY,2016,01-05-16,31-05-16,1462041000,1464633000,"Adilabad, Telangana, India",lat=19.5&lon=78.5
523,Adilabad,JUN,2016,01-06-16,30-06-16,1464719400,1467225000,"Adilabad, Telangana, India",lat=19.5&lon=78.5
524,Adilabad,JUL,2016,01-07-16,31-07-16,1467311400,1469903400,"Adilabad, Telangana, India",lat=19.5&lon=78.5
525,Adilabad,AUG,2016,01-08-16,31-08-16,1469989800,1472581800,"Adilabad, Telangana, India",lat=19.5&lon=78.5
526,Adilabad,SEP,2016,01-09-16,30-09-16,1472668200,1475173800,"Adilabad, Telangana, India",lat=19.5&lon=78.5
527,Adilabad,OCT,2016,01-10-16,31-10-16,1475260200,1477852200,"Adilabad, Telangana, India",lat=19.5&lon=78.5
528,Adilabad,NOV,2016,01-11-16,30-11-16,1477938600,1480444200,"Adilabad, Telangana, India",lat=19.5&lon=78.5
529,Adilabad,DEC,2016,01-12-16,31-12-16,1480530600,1483122600,"Adilabad, Telangana, India",lat=19.5&lon=78.5
530,Nizamabad,JAN,2016,01-01-16,31-01-16,1451586600,1454178600,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
531,Nizamabad,FEB,2016,01-02-16,29-02-16,1454265000,1456684200,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
532,Nizamabad,MAR,2016,01-03-16,31-03-16,1456770600,1459362600,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
533,Nizamabad,APR,2016,01-04-16,30-04-16,1459449000,1461954600,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
534,Nizamabad,MAY,2016,01-05-16,31-05-16,1462041000,1464633000,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
535,Nizamabad,JUN,2016,01-06-16,30-06-16,1464719400,1467225000,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
536,Nizamabad,JUL,2016,01-07-16,31-07-16,1467311400,1469903400,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
537,Nizamabad,AUG,2016,01-08-16,31-08-16,1469989800,1472581800,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
538,Nizamabad,SEP,2016,01-09-16,30-09-16,1472668200,1475173800,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
539,Nizamabad,OCT,2016,01-10-16,31-10-16,1475260200,1477852200,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
540,Nizamabad,NOV,2016,01-11-16,30-11-16,1477938600,1480444200,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
541,Nizamabad,DEC,2016,01-12-16,31-12-16,1480530600,1483122600,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
542,Warangal,JAN,2016,01-01-16,31-01-16,1451586600,1454178600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
543,Warangal,FEB,2016,01-02-16,29-02-16,1454265000,1456684200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
544,Warangal,MAR,2016,01-03-16,31-03-16,1456770600,1459362600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
545,Warangal,APR,2016,01-04-16,30-04-16,1459449000,1461954600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
546,Warangal,MAY,2016,01-05-16,31-05-16,1462041000,1464633000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
