,Region,Month,Year,Start_Date,End_Date,Start_Date_Unix,End_Date_Unix,Full Location,LatLong
170,Adilabad,MAR,2020,01-03-20,31-03-20,1583001000,1585593000,"Adilabad, Telangana, India",lat=19.5&lon=78.5
171,Adilabad,APR,2020,01-04-20,30-04-20,1585679400,1588185000,"Adilabad, Telangana, India",lat=19.5&lon=78.5
172,Adilabad,MAY,2020,01-05-20,31-05-20,1588271400,1590863400,"Adilabad, Telangana, India",lat=19.5&lon=78.5
173,Adilabad,JUN,2020,01-06-20,30-06-20,1590949800,1593455400,"Adilabad, Telangana, India",lat=19.5&lon=78.5
174,Adilabad,JUL,2020,01-07-20,31-07-20,1593541800,1596133800,"Adilabad, Telangana, India",lat=19.5&lon=78.5
175,Adilabad,AUG,2020,01-08-20,31-08-20,1596220200,1598812200,"Adilabad, Telangana, India",lat=19.5&lon=78.5
176,Adilabad,SEP,2020,01-09-20,30-09-20,1598898600,1601404200,"Adilabad, Telangana, India",lat=19.5&lon=78.5
177,Adilabad,OCT,2020,01-10-20,31-10-20,1601490600,1604082600,"Adilabad, Telangana, India",lat=19.5&lon=78.5
178,Adilabad,NOV,2020,01-11-20,30-11-20,1604169000,1606674600,"Adilabad, Telangana, India",lat=19.5&lon=78.5
179,Adilabad,DEC,2020,01-12-20,31-12-20,1606761000,1609353000,"Adilabad, Telangana, India",lat=19.5&lon=78.5
180,Nizamabad,JAN,2020,01-01-20,31-01-20,1577817000,1580409000,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
181,Nizamabad,FEB,2020,01-02-20,29-02-20,1580495400,1582914600,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
182,Nizamabad,MAR,2020,01-03-20,31-03-20,1583001000,1585593000,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
183,Nizamabad,APR,2020,01-04-20,30-04-20,1585679400,1588185000,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
184,Nizamabad,MAY,2020,01-05-20,31-05-20,1588271400,1590863400,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
185,Nizamabad,JUN,2020,01-06-20,30-06-20,1590949800,1593455400,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
186,Nizamabad,JUL,2020,01-07-20,31-07-20,1593541800,1596133800,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
187,Nizamabad,AUG,2020,01-08-20,31-08-20,1596220200,1598812200,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
188,Nizamabad,SEP,2020,01-09-20,30-09-20,1598898600,1601404200,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
189,Nizamabad,OCT,2020,01-10-20,31-10-20,1601490600,1604082600,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
190,Nizamabad,NOV,2020,01-11-20,30-11-20,1604169000,1606674600,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
191,Nizamabad,DEC,2020,01-12-20,31-12-20,1606761000,1609353000,"Nizamabad, Telangana, India",lat=18.75&lon=78.25
192,Warangal,JAN,2020,01-01-20,31-01-20,1577817000,1580409000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
193,Warangal,FEB,2020,01-02-20,29-02-20,1580495400,1582914600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
194,Warangal,MAR,2020,01-03-20,31-03-20,1583001000,1585593000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
195,Warangal,APR,2020,01-04-20,30-04-20,1585679400,1588185000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
196,Warangal,MAY,2020,01-05-20,31-05-20,1588271400,1590863400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
197,Warangal,JUN,2020,01-06-20,30-06-20,1590949800,1593455400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
198,Warangal,JUL,2020,01-07-20,31-07-20,1593541800,1596133800,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
199,Warangal,AUG,2020,01-08-20,31-08-20,1596220200,1598812200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
200,Warangal,SEP,2020,01-09-20,30-09-20,1598898600,1601404200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
201,Warangal,OCT,2020,01-10-20,31-10-20,1601490600,1604082600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
202,Warangal,NOV,2020,01-11-20,30-11-20,1604169000,1606674600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
203,Warangal,DEC,2020,01-12-20,31-12-20,1606761000,1609353000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
204,Warangal,JAN,2020,01-01-20,31-01-20,1577817000,1580409000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
205,Warangal,FEB,2020,01-02-20,29-02-20,1580495400,1582914600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
206,Warangal,MAR,2020,01-03-20,31-03-20,1583001000,1585593000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
207,Warangal,APR,2020,01-04-20,30-04-20,1585679400,1588185000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
208,Warangal,MAY,2020,01-05-20,31-05-20,1588271400,1590863400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
209,Warangal,JUN,2020,01-06-20,30-06-20,1590949800,1593455400,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
210,Warangal,JUL,2020,01-07-20,31-07-20,1593541800,1596133800,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
211,Warangal,AUG,2020,01-08-20,31-08-20,1596220200,1598812200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
212,Warangal,SEP,2020,01-09-20,30-09-20,1598898600,1601404200,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
213,Warangal,OCT,2020,01-10-20,31-10-20,1601490600,1604082600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
214,Warangal,NOV,2020,01-11-20,30-11-20,1604169000,1606674600,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
215,Warangal,DEC,2020,01-12-20,31-12-20,1606761000,1609353000,"Warangal, Telangana, India",lat=17.9820644&lon=79.5970954
216,Karimnagar,JAN,2020,01-01-20,31-01-20,1577817000,1580409000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
217,Karimnagar,FEB,2020,01-02-20,29-02-20,1580495400,1582914600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
218,Karimnagar,MAR,2020,01-03-20,31-03-20,1583001000,1585593000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
219,Karimnagar,APR,2020,01-04-20,30-04-20,1585679400,1588185000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
220,Karimnagar,MAY,2020,01-05-20,31-05-20,1588271400,1590863400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
221,Karimnagar,JUN,2020,01-06-20,30-06-20,1590949800,1593455400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
222,Karimnagar,JUL,2020,01-07-20,31-07-20,1593541800,1596133800,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
223,Karimnagar,AUG,2020,01-08-20,31-08-20,1596220200,1598812200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
224,Karimnagar,SEP,2020,01-09-20,30-09-20,1598898600,1601404200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
225,Karimnagar,OCT,2020,01-10-20,31-10-20,1601490600,1604082600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
226,Karimnagar,NOV,2020,01-11-20,30-11-20,1604169000,1606674600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
227,Karimnagar,DEC,2020,01-12-20,31-12-20,1606761000,1609353000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
228,Karimnagar,JAN,2020,01-01-20,31-01-20,1577817000,1580409000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
229,Karimnagar,FEB,2020,01-02-20,29-02-20,1580495400,1582914600,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
230,Karimnagar,MAR,2020,01-03-20,31-03-20,1583001000,1585593000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
231,Karimnagar,APR,2020,01-04-20,30-04-20,1585679400,1588185000,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
232,Karimnagar,MAY,2020,01-05-20,31-05-20,1588271400,1590863400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
233,Karimnagar,JUN,2020,01-06-20,30-06-20,1590949800,1593455400,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
234,Karimnagar,JUL,2020,01-07-20,31-07-20,1593541800,1596133800,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
235,Karimnagar,AUG,2020,01-08-20,31-08-20,1596220200,1598812200,"Karimnagar, Telangana, India",lat=18.4348122&lon=79.1328042
